Datetime,AEP_MW
2024-01-01 00:00:00,17.89
2024-01-01 01:00:00,13.92
2024-01-01 02:00:00,9.85
2024-01-01 03:00:00,11.83
2024-01-01 04:00:00,11.73
2024-01-01 05:00:00,10.99
2024-01-01 06:00:00,12.69
2024-01-01 07:00:00,17.75
2024-01-01 08:00:00,10.47
2024-01-01 09:00:00,17.48
2024-01-01 10:00:00,13.72
2024-01-01 11:00:00,19.66
2024-01-01 12:00:00,15.12
2024-01-01 13:00:00,10.39
2024-01-01 14:00:00,18.63
2024-01-01 15:00:00,13.57
2024-01-01 16:00:00,14.36
2024-01-01 17:00:00,14.46
2024-01-01 18:00:00,19.14
2024-01-01 19:00:00,11.8
2024-01-01 20:00:00,19.62
2024-01-01 21:00:00,17.08
2024-01-01 22:00:00,12.27
2024-01-01 23:00:00,14.41
2024-02-01 00:00:00,15.8
2024-02-01 01:00:00,16.34
2024-02-01 02:00:00,18.83
2024-02-01 03:00:00,16.36
2024-02-01 04:00:00,14.01
2024-02-01 05:00:00,13.54
2024-02-01 06:00:00,14.62
2024-02-01 07:00:00,16.16
2024-02-01 08:00:00,18.17
2024-02-01 09:00:00,17.13
2024-02-01 10:00:00,14.02
2024-02-01 11:00:00,13.88
2024-02-01 12:00:00,17.79
2024-02-01 13:00:00,17.57
2024-02-01 14:00:00,15.7
2024-02-01 15:00:00,17.02
2024-02-01 16:00:00,8.39
2024-02-01 17:00:00,18.53
2024-02-01 18:00:00,14.19
2024-02-01 19:00:00,17.58
2024-02-01 20:00:00,15.88
2024-02-01 21:00:00,15.32
2024-02-01 22:00:00,19.2
2024-02-01 23:00:00,19.88
2024-03-01 00:00:00,17.63
2024-03-01 01:00:00,19.57
2024-03-01 02:00:00,10.56
2024-03-01 03:00:00,13.62
2024-03-01 04:00:00,18.21
2024-03-01 05:00:00,22.76
2024-03-01 06:00:00,15.52
2024-03-01 07:00:00,17.58
2024-03-01 08:00:00,12.8
2024-03-01 09:00:00,19.27
2024-03-01 10:00:00,20.84
2024-03-01 11:00:00,13.76
2024-03-01 12:00:00,11.94
2024-03-01 13:00:00,17.47
2024-03-01 14:00:00,12.53
2024-03-01 15:00:00,16.25
2024-03-01 16:00:00,11.39
2024-03-01 17:00:00,9.65
2024-03-01 18:00:00,12.48
2024-03-01 19:00:00,11.83
2024-03-01 20:00:00,11.03
2024-03-01 21:00:00,14.31
2024-03-01 22:00:00,8.95
2024-03-01 23:00:00,13.69
2024-04-01 00:00:00,17.84
2024-04-01 01:00:00,14.3
2024-04-01 02:00:00,14.14
2024-04-01 03:00:00,19.46
2024-04-01 04:00:00,15.25
2024-04-01 05:00:00,17.38
2024-04-01 06:00:00,8.62
2024-04-01 07:00:00,12.2
2024-04-01 08:00:00,17.19
2024-04-01 09:00:00,12.96
2024-04-01 10:00:00,19.34
2024-04-01 11:00:00,11.51
2024-04-01 12:00:00,21.55
2024-04-01 13:00:00,11.94
2024-04-01 14:00:00,19.06
2024-04-01 15:00:00,15.56
2024-04-01 16:00:00,15.11
2024-04-01 17:00:00,16.62
2024-04-01 18:00:00,16.88
2024-04-01 19:00:00,13.3
2024-04-01 20:00:00,14.38
2024-04-01 21:00:00,12.62
2024-04-01 22:00:00,18.62
2024-04-01 23:00:00,16.25
2024-05-01 00:00:00,20.13
2024-05-01 01:00:00,14.72
2024-05-01 02:00:00,14.59
2024-05-01 03:00:00,20.76
2024-05-01 04:00:00,16.16
2024-05-01 05:00:00,12.1
2024-05-01 06:00:00,13.68
2024-05-01 07:00:00,10.93
2024-05-01 08:00:00,10.56
2024-05-01 09:00:00,16.23
2024-05-01 10:00:00,15.83
2024-05-01 11:00:00,18.59
2024-05-01 12:00:00,15.2
2024-05-01 13:00:00,12.27
2024-05-01 14:00:00,14.46
2024-05-01 15:00:00,9.93
2024-05-01 16:00:00,19.37
2024-05-01 17:00:00,15.2
2024-05-01 18:00:00,10.84
2024-05-01 19:00:00,15.32
2024-05-01 20:00:00,14.61
2024-05-01 21:00:00,11.69
2024-05-01 22:00:00,18.24
2024-05-01 23:00:00,21.04
2024-06-01 00:00:00,21.34
2024-06-01 01:00:00,13.3
2024-06-01 02:00:00,15.21
2024-06-01 03:00:00,13.44
2024-06-01 04:00:00,18.77
2024-06-01 05:00:00,13.9
2024-06-01 06:00:00,18.94
2024-06-01 07:00:00,17.35
2024-06-01 08:00:00,12.15
2024-06-01 09:00:00,12.04
2024-06-01 10:00:00,16.86
2024-06-01 11:00:00,17.05
2024-06-01 12:00:00,13.19
2024-06-01 13:00:00,19.03
2024-06-01 14:00:00,17.3
2024-06-01 15:00:00,14.11
2024-06-01 16:00:00,19.29
2024-06-01 17:00:00,19.58
2024-06-01 18:00:00,20.74
2024-06-01 19:00:00,10.62
2024-06-01 20:00:00,19.51
2024-06-01 21:00:00,14.02
2024-06-01 22:00:00,13.36
2024-06-01 23:00:00,14.09
2024-07-01 00:00:00,14.46
2024-07-01 01:00:00,11.08
2024-07-01 02:00:00,8.8
2024-07-01 03:00:00,20.18
2024-07-01 04:00:00,9.81
2024-07-01 05:00:00,14.46
2024-07-01 06:00:00,14.42
2024-07-01 07:00:00,10.41
2024-07-01 08:00:00,10.25
2024-07-01 09:00:00,15.49
2024-07-01 10:00:00,17.98
2024-07-01 11:00:00,13.35
2024-07-01 12:00:00,10.64
2024-07-01 13:00:00,18.66
2024-07-01 14:00:00,13.14
2024-07-01 15:00:00,13.54
2024-07-01 16:00:00,19.67
2024-07-01 17:00:00,16.73
2024-07-01 18:00:00,14.61
2024-07-01 19:00:00,11.87
2024-07-01 20:00:00,14.19
2024-07-01 21:00:00,16.69
2024-07-01 22:00:00,15.35
2024-07-01 23:00:00,20.28
2024-08-01 00:00:00,15.75
2024-08-01 01:00:00,14.42
2024-08-01 02:00:00,12.36
2024-08-01 03:00:00,12.37
2024-08-01 04:00:00,14.39
2024-08-01 05:00:00,12.37
2024-08-01 06:00:00,13.12
2024-08-01 07:00:00,13.23
2024-08-01 08:00:00,19.63
2024-08-01 09:00:00,10.0
2024-08-01 10:00:00,10.24
2024-08-01 11:00:00,18.03
2024-08-01 12:00:00,15.4
2024-08-01 13:00:00,12.0
2024-08-01 14:00:00,20.36
2024-08-01 15:00:00,14.57
2024-08-01 16:00:00,10.83
2024-08-01 17:00:00,20.28
2024-08-01 18:00:00,9.46
2024-08-01 19:00:00,16.12
2024-08-01 20:00:00,13.76
2024-08-01 21:00:00,21.2
2024-08-01 22:00:00,12.59
2024-08-01 23:00:00,16.35
2024-09-01 00:00:00,16.13
2024-09-01 01:00:00,11.38
2024-09-01 02:00:00,16.33
2024-09-01 03:00:00,13.19
2024-09-01 04:00:00,17.7
2024-09-01 05:00:00,16.95
2024-09-01 06:00:00,7.54
2024-09-01 07:00:00,16.14
2024-09-01 08:00:00,16.38
2024-09-01 09:00:00,14.96
2024-09-01 10:00:00,16.69
2024-09-01 11:00:00,21.23
2024-09-01 12:00:00,11.84
2024-09-01 13:00:00,12.67
2024-09-01 14:00:00,18.61
2024-09-01 15:00:00,19.6
2024-09-01 16:00:00,11.34
2024-09-01 17:00:00,15.7
2024-09-01 18:00:00,15.75
2024-09-01 19:00:00,19.48
2024-09-01 20:00:00,17.96
2024-09-01 21:00:00,16.46
2024-09-01 22:00:00,19.64
2024-09-01 23:00:00,13.57
2024-10-01 00:00:00,11.07
2024-10-01 01:00:00,17.4
2024-10-01 02:00:00,7.38
2024-10-01 03:00:00,7.51
2024-10-01 04:00:00,14.65
2024-10-01 05:00:00,14.76
2024-10-01 06:00:00,15.24
2024-10-01 07:00:00,12.82
2024-10-01 08:00:00,11.1
2024-10-01 09:00:00,19.81
2024-10-01 10:00:00,10.52
2024-10-01 11:00:00,17.4
2024-10-01 12:00:00,12.38
2024-10-01 13:00:00,16.74
2024-10-01 14:00:00,21.0
2024-10-01 15:00:00,17.81
2024-10-01 16:00:00,12.76
2024-10-01 17:00:00,19.76
2024-10-01 18:00:00,13.8
2024-10-01 19:00:00,17.96
2024-10-01 20:00:00,12.56
2024-10-01 21:00:00,21.4
2024-10-01 22:00:00,11.98
2024-10-01 23:00:00,13.78
2024-11-01 00:00:00,18.53
2024-11-01 01:00:00,17.97
2024-11-01 02:00:00,14.68
2024-11-01 03:00:00,13.66
2024-11-01 04:00:00,9.69
2024-11-01 05:00:00,15.16
2024-11-01 06:00:00,17.72
2024-11-01 07:00:00,20.55
2024-11-01 08:00:00,16.83
2024-11-01 09:00:00,11.0
2024-11-01 10:00:00,17.22
2024-11-01 11:00:00,17.94
2024-11-01 12:00:00,15.14
2024-11-01 13:00:00,17.58
2024-11-01 14:00:00,18.04
2024-11-01 15:00:00,17.23
2024-11-01 16:00:00,11.37
2024-11-01 17:00:00,13.67
2024-11-01 18:00:00,19.59
2024-11-01 19:00:00,15.1
2024-11-01 20:00:00,12.29
2024-11-01 21:00:00,15.34
2024-11-01 22:00:00,19.21
2024-11-01 23:00:00,14.92
2024-12-01 00:00:00,14.26
2024-12-01 01:00:00,8.99
2024-12-01 02:00:00,17.56
2024-12-01 03:00:00,12.42
2024-12-01 04:00:00,16.66
2024-12-01 05:00:00,15.12
2024-12-01 06:00:00,14.84
2024-12-01 07:00:00,14.16
2024-12-01 08:00:00,19.03
2024-12-01 09:00:00,13.58
2024-12-01 10:00:00,18.83
2024-12-01 11:00:00,11.18
2024-12-01 12:00:00,13.33
2024-12-01 13:00:00,18.13
2024-12-01 14:00:00,13.49
2024-12-01 15:00:00,13.99
2024-12-01 16:00:00,14.45
2024-12-01 17:00:00,17.33
2024-12-01 18:00:00,13.44
2024-12-01 19:00:00,11.96
2024-12-01 20:00:00,8.2
2024-12-01 21:00:00,15.08
2024-12-01 22:00:00,11.7
2024-12-01 23:00:00,16.5
