actual,predicted
12260.0,12277.895
11672.0,11699.395
11352.0,11335.845
11177.0,11167.86
11142.0,11135.29
11331.0,11344.715
11866.0,11831.625
12387.0,12397.29
13144.0,13090.46
13712.0,13678.855
14082.0,14080.76
14080.0,14202.095
14056.0,14050.76
13934.0,13930.305
13758.0,13776.17
13579.0,13598.53
13620.0,13632.03
13483.0,13556.755
13379.0,13440.575
13825.0,13820.98
14056.0,14012.425
14015.0,13872.825
12940.0,13118.075
12172.0,12169.36
11443.0,11470.615
10807.0,10867.585
10600.0,10580.1
10438.0,10445.975
10430.0,10451.5
10509.0,10512.955
10795.0,10823.6
11288.0,11194.665
11965.0,11909.675
12493.0,12462.55
12722.0,12734.4
12908.0,12910.58
12997.0,12985.39
12924.0,12999.81
12759.0,12804.745
12605.0,12654.475
12755.0,12725.44
12795.0,12838.47
12979.0,12968.64
13819.0,13831.37
14237.0,14130.245
13878.0,13921.415
13132.0,13136.785
12351.0,12370.62
11817.0,11813.395
11408.0,11430.24
11261.0,11263.555
11247.0,11230.86
11414.0,11445.03
12283.0,12234.685
13862.0,13815.19
14864.0,14812.69
15046.0,15039.675
15282.0,15274.36
15511.0,15493.855
15621.0,15632.105
15662.0,15628.95
15803.0,15753.49
15747.0,15730.74
15689.0,15684.41
15617.0,15637.875
15441.0,15496.22
15368.0,15391.41
15910.0,15832.23
16133.0,16048.65
15583.0,15562.435
14497.0,14501.95
13405.0,13404.895
12532.0,12562.6
12126.0,12112.885
11926.0,11904.145
11914.0,11866.09
12010.0,12043.24
12770.0,12777.01
14393.0,14317.565
15444.0,15378.775
15547.0,15537.605
15519.0,15550.41
15542.0,15574.7
15480.0,15494.84
15423.0,15430.0
15450.0,15418.205
15259.0,15283.19
15107.0,15120.47
15101.0,15114.02
14984.0,15033.555
14976.0,14992.84
15649.0,15533.17
16007.0,15898.535
15469.0,15519.92
14520.0,14503.79
13541.0,13531.795
12764.0,12727.905
12347.0,12312.57
12192.0,12172.705
12164.0,12160.095
12356.0,12359.965
13160.0,13162.365
14677.0,14647.71
15685.0,15683.02
15616.0,15675.695
15549.0,15575.775
15396.0,15465.41
15271.0,15288.235
15137.0,15145.495
15032.0,15035.19
15114.0,15025.595
14927.0,14942.74
14979.0,14961.945
14864.0,14918.32
14765.0,14908.665
15422.0,15395.355
15706.0,15688.795
15259.0,15261.675
14272.0,14326.95
13249.0,13291.065
12484.0,12475.825
12054.0,12048.45
11745.0,11785.265
11757.0,11755.48
12041.0,11997.105
12823.0,12815.935
14394.0,14360.625
15463.0,15369.365
15488.0,15486.93
15585.0,15528.415
15597.0,15587.745
15515.0,15536.56
15508.0,15496.125
15547.0,15505.09
15522.0,15498.66
15333.0,15367.155
15266.0,15274.5
14972.0,15095.71
15042.0,15008.24
15742.0,15642.545
15893.0,15824.145
15407.0,15407.565
14359.0,14433.3
13271.0,13304.94
12468.0,12466.37
12046.0,12033.125
11749.0,11757.235
11784.0,11727.495
11919.0,11934.165
12610.0,12631.555
14209.0,14128.865
15239.0,15240.815
15297.0,15301.28
15429.0,15409.605
15545.0,15536.735
15586.0,15567.61
15626.0,15585.975
15703.0,15653.085
