Date,Time,Temperature_C,Humidity_Percent,Occupancy,Appliance_Usage_kWh,Weather,Energy_Consumption_kWh
01-01-2024,00:00,25.1,44,6,4.08,Sunny,17.89
01-01-2024,01:00,20.1,72,0,5.5,Cloudy,13.92
01-01-2024,02:00,27.5,39,3,1.0,Windy,9.85
01-01-2024,03:00,30.4,49,0,3.67,Windy,11.83
01-01-2024,04:00,22.9,70,2,2.09,Cloudy,11.73
01-01-2024,05:00,30.6,70,2,1.07,Cloudy,10.99
01-01-2024,06:00,30.1,39,0,3.9,Windy,12.69
01-01-2024,07:00,27.4,55,7,3.72,Windy,17.75
01-01-2024,08:00,23.5,46,3,0.95,Rainy,10.47
01-01-2024,09:00,37.3,81,7,2.08,Sunny,17.48
01-01-2024,10:00,27.2,83,5,1.34,Windy,13.72
01-01-2024,11:00,39.2,39,8,3.65,Rainy,19.66
01-01-2024,12:00,25.7,66,7,0.88,Sunny,15.12
01-01-2024,13:00,28.4,77,1,0.83,Rainy,10.39
01-01-2024,14:00,39.8,87,7,2.07,Windy,18.63
01-01-2024,15:00,25.6,64,5,1.42,Sunny,13.57
01-01-2024,16:00,22.8,53,2,4.56,Windy,14.36
01-01-2024,17:00,37.2,40,2,2.97,Rainy,14.46
01-01-2024,18:00,36.0,90,8,2.03,Windy,19.14
01-01-2024,19:00,33.0,59,3,1.33,Cloudy,11.8
01-01-2024,20:00,32.5,35,7,5.07,Cloudy,19.62
01-01-2024,21:00,18.1,61,8,2.53,Rainy,17.08
01-01-2024,22:00,33.2,67,0,3.01,Windy,12.27
01-01-2024,23:00,26.7,65,6,0.84,Sunny,14.41
02-01-2024,00:00,27.7,42,5,3.8,Sunny,15.8
02-01-2024,01:00,21.3,41,5,3.88,Sunny,16.34
02-01-2024,02:00,31.5,44,4,5.76,Rainy,18.83
02-01-2024,03:00,20.5,66,7,3.14,Rainy,16.36
02-01-2024,04:00,20.2,56,4,3.13,Cloudy,14.01
02-01-2024,05:00,22.5,68,5,1.31,Sunny,13.54
02-01-2024,06:00,24.6,76,1,4.33,Rainy,14.62
